	SMALL LoBM	ME1 BM2	SMALL HiBM	BIG LoBM	ME2 BM2	BIG HiBM	MKT	SMB	HML	RF
199507	141.73	137.17	80.52	5175.86	4394.85	3536.61	3.72	2.09	-1.67	0.45
199508	153.22	143.7	84.91	5382.56	4564.35	3653.37	0.55	1.59	2.71	0.47
199509	156.79	147.42	88.62	5381.98	4616.11	3760.61	3.35	-2.11	-0.75	0.43
199510	160.12	150.16	89.83	5616.61	4773.45	3900.61	-1.52	-3.75	-0.74	0.47
199511	151.01	142.74	86.02	5649.85	4709.39	3788.37	3.96	-1.17	0.95	0.42
199512	156.61	147.56	89.48	5868.54	4925.24	3963.81	1.03	0.58	0.87	0.49
199601	159.6	151.68	90.78	5902.64	5074.72	4029.64	2.26	-2.62	0.3	0.43
199602	159.85	151.17	91.56	6050.95	5247.74	4142.5	1.33	1.88	-1.42	0.39
199603	167.81	153.66	94.06	6170.36	5336.77	4173.78	0.73	1.31	1.01	0.39
199604	171.76	157.71	96.79	6167.89	5396.82	4196.59	2.06	4.91	-3.91	0.46
199605	187.32	164.84	101.07	6359.81	5454.29	4155.56	2.36	3.05	-1.2	0.42
199606	198.9	172.6	106.36	6588.76	5474.86	4234.16	-1.14	-3.58	1.56	0.4
199607	179.8	177.14	94.77	6833.06	4668.7	3755.05	-5.97	-3.84	4.45	0.45
199608	154.92	166.99	89.46	6467.17	4490.87	3568.59	2.77	2.3	-0.46	0.41
199609	165.59	174.77	93.87	6605	4658.36	3687.33	5.01	-0.88	-3.15	0.44
199610	174.28	178.15	96.99	7042.09	4852.86	3774.45	0.86	-4.44	5.12	0.42
199611	165.59	177.49	97.68	7086.84	5017.25	3954.79	6.25	-3.89	1.16	0.41
199612	168.66	184.84	101.75	7612.25	5359.5	4264.77	-1.7	3.2	0.89	0.46
199701	170	190.11	103.61	7490.94	5270.73	4234.33	4.98	-1.84	-1.65	0.45
199702	176.94	195.52	106.87	8002.08	5504.46	4434.45	-0.49	-2.9	5.2	0.39
199703	166.57	194.02	108.05	7996.14	5521.94	4556.16	-5.02	-0.38	3.81	0.43
199704	152.25	186.41	106.15	7535.88	5384.37	4333.38	4.04	-5.65	-0.07	0.43
199705	147.25	186.95	105.44	8046.82	5611.82	4494.59	6.74	4.89	-3.87	0.49
199706	170.64	205.03	113.64	8619.5	5895.21	4779.75	4.1	1.33	1.23	0.37
199707	191.41	183.77	104.64	8919.22	5673.25	3950.31	7.33	-2.8	0.82	0.43
199708	199.63	193.13	110.61	9579.97	6177.46	4271.26	-4.15	7.31	1.38	0.41
199709	207.88	199.3	113.89	9052.09	5975.09	4190.61	5.35	2.61	0.01	0.44
199710	226.68	214.64	122.64	9542.54	6344.02	4476.24	-3.8	-0.68	1.95	0.42
199711	212.37	205.95	119.77	9246.47	6104.34	4318.01	2.98	-4.95	0.79	0.39
199712	204.84	203.65	120.45	9707.26	6282	4470.52	1.32	-2.35	3.45	0.48
199801	200.44	204.74	123.2	9847.48	6438.8	4656.56	0.15	-1.16	-1.45	0.43
199802	199.92	201.93	121.93	10127.15	6274.09	4697.6	7.04	0	-0.13	0.39
199803	215.62	216.34	131.92	10870.35	6783.46	5071.77	4.76	-0.93	1.05	0.39
199804	224.63	226.02	137.41	11403.62	7123.8	5436.87	0.73	0.2	0.74	0.43
199805	227.74	229.47	141.19	11524.19	7293.51	5475.74	-3.07	-3.74	4.16	0.4
199806	212.82	217.92	136.99	11336.11	7139.19	5421.47	3.18	-3.16	-2.33	0.41
199807	232.04	208.12	119.11	12239.07	6588.66	4615.41	-2.46	-5.12	-0.96	0.4
199808	213.49	192.57	110.85	12253.12	6361.73	4494.04	-16.08	-5.31	3.4	0.43
199809	161.76	157.58	91.02	10578.14	5175.35	3885.54	6.15	-0.14	-3.31	0.46
199810	177.33	165.3	94.53	11427.45	5197.02	4132.35	7.13	-3.29	-2.21	0.32
199811	185.58	171.2	98.42	12355.12	5582.44	4183.68	6.1	1.07	-3.15	0.31
199812	203.45	180.96	104.29	13244.03	5849.58	4379.56	6.16	-0.35	-4.46	0.38
199901	218.46	187.04	108.04	14461.11	5819.85	4527.11	3.5	0.37	-4.03	0.35
199902	229.22	190.91	109.62	15192.02	5815.56	4547.67	-4.08	-5.67	1.4	0.35
199903	209.1	177.92	101.21	14610.69	5785.96	4431.94	3.45	-3.93	-2.65	0.43
199904	208.81	180.11	98.93	15185.06	6013.58	4533.63	4.33	4	2.53	0.37
199905	226.96	200.72	108.79	15569.79	6498.31	4836.62	-2.46	3.42	2.4	0.34
199906	231.92	201.87	113.88	15147.47	6446.87	4857.48	4.77	3.05	-3.6	0.4
199907	231.93	199.25	106.56	15721.53	6103.03	3393.05	-3.49	2.67	-0.76	0.38
199908	230.13	197.51	105.39	15352.77	5922.5	3239	-1.38	-1.27	-1.31	0.39
199909	222.88	191.98	102.19	15359.74	5717.03	3176.72	-2.79	3.33	-3.4	0.39
199910	225.77	189.77	98.14	15025.86	5426.18	3001.01	6.12	-6.95	-2.88	0.39
199911	224.92	187	94.97	16220.43	5823.59	3120.09	3.37	7.37	-6.51	0.36
199912	255.47	197.24	99.12	16821.35	5630.85	3140.95	7.72	7.12	-8.74	0.44
200001	301.99	212.59	106.28	18323.19	5660.07	3230.62	-4.74	4.95	-0.29	0.41
200002	303.55	211.01	107.11	17437.57	5501.72	3027.83	2.45	21.7	-9.93	0.43
200003	384.87	242.58	120.84	17802.05	5123.3	2891.86	5.2	-16.86	7.38	0.47
200004	337.63	231.98	118.08	19299.81	5714.15	3241.66	-6.4	-7.73	8.61	0.46
200005	286.9	218.97	111.85	18421.33	5633.31	3312.58	-4.42	-5.11	2.56	0.5
200006	260.11	204.43	106.84	17657.33	5690.31	3255.83	4.64	13.85	-9.86	0.4
200007	253.18	178.98	95.04	15860.45	4682.64	3452.33	-2.51	-2.76	8.06	0.48
200008	235.21	182.18	97.28	15453.2	4882.14	3572.1	7.03	-1.15	-0.66	0.5
200009	256.28	190.92	103.89	16762.57	5291.76	3861.03	-5.45	-1.32	6.13	0.51
200010	237.9	189.98	104.41	15848.44	5416.71	3835.02	-2.76	-3.8	5.64	0.56
200011	219.12	185.46	104.32	15553.09	5386.34	3919.3	-10.72	-2.77	11.26	0.51
200012	183.2	177.06	102.22	13900.6	5169.99	3716.23	1.19	0.96	7.37	0.5
200101	190.65	192.66	111.15	13785.11	5509.01	4043.87	3.13	6.54	-4.86	0.54
200102	216.19	203.35	118.89	14286.32	5605.56	3957.42	-10.05	-0.72	12.87	0.38
200103	190.11	201.81	119.59	12724.52	5573.94	3997.7	-7.26	0.34	6.46	0.42
200104	176.1	200.66	118.91	11765.88	5477.8	3938.22	7.94	0.54	-4.72	0.39
200105	197.1	210.38	126.38	12852.6	5755.76	4122.73	0.72	2.59	3.18	0.32
200106	207.78	220.77	135.12	13034.65	5884.19	4232.34	-1.94	6.03	-1.03	0.28
200107	338.2	265.1	108.76	16424.33	6516.13	5538.9	-2.13	-4.35	5.57	0.3
200108	312.07	252.46	108.09	16245	6421.61	5645	-6.46	2.5	2.51	0.31
200109	290.63	244.93	107.27	15127.81	6131.88	5194.47	-9.25	-6.12	1.6	0.28
200110	241.24	212.65	92.85	13916.17	5437.25	4799.02	2.46	7.63	-8.1	0.22
200111	271.12	224.16	98.06	14413.74	5482.65	4511.83	7.54	-0.41	2.01	0.17
200112	295.18	241.06	107.5	15567.38	5877.8	5064.14	1.61	4.57	1.1	0.15
200201	317.75	257.78	116.11	15784.5	6060.57	5212.18	-1.44	1.19	3.33	0.14
200202	303.5	260.49	120.15	15650.46	5962.38	5159.38	-2.29	-1.1	2.5	0.13
200203	279.51	258.84	119.59	15244.47	5974.67	5035.22	4.24	4.23	1.1	0.13
200204	309.48	278.92	132.53	15775.39	6306.21	5260.69	-5.2	5.94	3.92	0.15
200205	298.01	287.83	138.95	14631.22	6236.9	4891.59	-1.38	-3.21	1.68	0.14
200206	279.62	277.57	135.54	14442.12	6270.82	4782.85	-7.21	4.27	0.12	0.13
200207	291.28	292.2	124.83	15381.58	6772.17	6293.69	-8.18	-5.3	-3.44	0.15
200208	249.71	251.11	107.2	14381.98	6203.94	5443.56	0.5	-2.44	2.52	0.14
200209	248.99	253.11	107.13	14374.59	6239.43	5725.23	-10.35	2.57	1.32	0.14
200210	229.68	234.27	100.8	12803.26	5599.24	5191.55	7.84	-2.91	-5.45	0.14
200211	247.39	244.12	102.25	14072.57	5795.81	5484.73	5.96	2.84	-1.12	0.12
200212	283.01	264.67	110.56	14786.2	6127.71	5970.59	-5.76	0.01	2.23	0.11
200301	258.81	253.83	106.76	13835.65	5900.93	5553.13	-2.57	1.39	-0.93	0.1
200302	254.15	248.69	105.61	13464.86	5768.26	5242.3	-1.88	-0.34	-1.45	0.09
200303	247.32	244.79	102.82	13261.88	5633.04	4998.59	1.09	0.89	-2.08	0.1
200304	252.71	246.89	104.72	13390.17	5644.23	4911.72	8.22	0.56	1.03	0.1
200305	281.76	271.07	115.72	14395.6	6139.25	5474.32	6.05	4.69	-0.29	0.09
200306	321.46	300.71	128.29	15136.54	6557.42	5897.86	1.42	1.67	0.68	0.1
200307	335.44	286.26	148.3	14293.99	8244.59	6613.89	2.35	5.24	-1.13	0.07
200308	363.96	303.94	158.5	14635.86	8444.44	6656.96	2.34	2.6	2.03	0.07
200309	380.37	318.84	169.75	14919.04	8578.47	6975.21	-1.24	0.8	0.01	0.08
200310	374.16	312.06	171.9	14735.51	8522.04	6721.65	6.08	2.68	1.77	0.07
200311	406.7	337.06	191.33	15550.39	9132.13	7144.49	1.35	2.02	1.85	0.07
200312	417.91	349.74	201.05	15660.42	9249.8	7324.66	4.29	-3	2.41	0.08
200401	423.87	358.58	209.47	16336.56	9672.14	7820.77	2.15	2.8	1.97	0.07
200402	438.42	373.04	225.05	16638.96	9875.29	7990.74	1.4	-1.43	0.5	0.06
200403	442.43	377.02	226.29	16851.38	10075.27	8190.93	-1.32	1.75	0.22	0.09
200404	449.68	378.09	228.62	16533.46	9853.14	8135.54	-1.83	-2.06	-2.62	0.08
200405	435.62	364.15	215.95	16467.62	9517.76	7886.3	1.17	-0.21	-0.39	0.06
200406	441.07	369.36	218.29	16667.45	9613.62	7962.99	1.86	2.26	1.39	0.08
200407	398.95	408.56	225.18	16143.04	10737.41	9231.44	-4.06	-3.81	4.12	0.1
200408	360.2	387.03	215.67	15459.45	10472.22	9112.33	0.08	-1.62	1.02	0.11
200409	352.24	386.29	214.48	15373.78	10650.27	9112.66	1.6	3.04	-0.25	0.11
200410	371.9	404.41	222.94	15488.03	10837.98	9108.07	1.43	0.31	-0.62	0.11
200411	383.03	409.96	226.93	15741.98	10914.5	9283.28	4.54	3.91	1.8	0.15
200412	412.61	446.62	248.56	16212.81	11408.61	9871.58	3.43	0.12	-0.07	0.16
200501	430.05	458.19	261.49	16803.89	11758.87	10214.15	-2.76	-1.51	1.96	0.16
200502	405.49	444.26	256.88	16291.25	11571.1	9985.14	1.89	-0.51	1.64	0.16
200503	408.17	453.69	267	16590.53	11837.19	10238.57	-1.97	-1.38	1.59	0.21
200504	391.67	441.76	263.43	16402.56	11545.29	10184.94	-2.61	-3.98	-0.35	0.21
200505	366.23	416.48	246.92	16134.27	11281.25	9900.71	3.65	2.88	-0.81	0.24
200506	395.1	442.81	261.8	16746.2	11629.98	10291.9	0.57	2.62	2.63	0.23
200507	438.56	430.07	273.57	16659.76	12633.97	10160.1	3.92	2.93	-0.51	0.24
200508	468.88	460.33	293.2	17470.36	12981.11	10543.32	-1.22	-0.92	1.27	0.3
200509	457.18	457.33	290.07	17215.7	12884.06	10550.68	0.49	-0.58	0.76	0.29
200510	459.3	462.39	292.53	17152.63	13078.29	10730.89	-2.02	-1.21	0.23	0.27
200511	441.11	451.44	286.75	16979.85	12822.68	10440.47	3.61	0.91	-1.19	0.31
200512	466.59	469.37	294.16	17679.84	13294.77	10789.85	-0.25	-0.45	0.44	0.32
200601	467.88	469.03	295.9	17598.56	13432.05	10824.7	3.04	5.41	1.12	0.35
200602	507.11	513.4	320.68	17941.48	13974.68	11293.52	-0.3	-0.37	-0.25	0.34
200603	505.19	511.71	320.42	17950.01	14179.55	11254.09	1.46	3.55	0.6	0.37
200604	527.22	537.92	338.99	18206.69	14311.28	11471.83	0.73	-1.34	2.6	0.36
200605	523.86	541.77	344.24	18211.27	14616.92	11754.52	-3.57	-3.04	2.55	0.43
200606	483.21	516.09	331.08	17731.44	14240.82	11588.35	-0.35	-0.35	0.88	0.4
200607	511.81	511.38	310.37	17392.42	13628.86	13429.23	-0.78	-4.07	2.94	0.4
200608	482.74	497.7	303.4	17316.08	13715.68	13574.49	2.03	0.9	-1.71	0.42
200609	499.35	510.55	311.25	17869.59	13918.4	13634.11	1.84	-1.37	0.05	0.41
200610	502.59	515.36	315.02	18375.14	14195.96	13952.57	3.23	1.72	-0.04	0.41
200611	531.02	542.36	328.66	19010.72	14688.58	14604.75	1.71	0.86	0.07	0.42
200612	542.7	555.02	339.93	19367.13	14979.77	14830.61	0.87	-1.1	3.15	0.4
200701	538.88	554.33	347.29	19407.57	15085.12	15331.34	1.4	0.11	-0.11	0.44
200702	549.32	559.9	354.8	19764.88	15394.69	15545.95	-1.96	1.32	-0.09	0.38
200703	547.56	560.62	353.57	19340.97	15064.21	15329.32	0.68	-0.05	-0.22	0.43
200704	554.6	566.66	358.5	19526.21	15298.41	15557.27	3.49	-2.07	-1.15	0.44
200705	563.51	578.47	364.67	20507.9	15916.83	16048.32	3.24	0.02	-0.04	0.41
200706	585.24	598.47	374.36	21150.48	16496.88	16696.19	-1.96	0.78	-1.12	0.4
200707	602.49	580.94	364.75	21063.96	16340.72	15999.3	-3.73	-2.51	-3.33	0.4
200708	574.86	542.2	335.1	20788.91	15705.07	15183.42	0.92	-0.13	-2.24	0.42
200709	584.65	552.08	331.85	21153.43	15984.73	15136.24	3.22	-2.29	-1.86	0.32
200710	600.27	553.03	331.79	22238.43	16471.37	15722.42	1.8	0.22	-2.6	0.32
200711	619.15	560.88	334.49	23059.13	16727.85	15919.08	-4.83	-2.62	-1.18	0.34
200712	574.46	521.36	308.64	22385.31	15813.65	15157.42	-0.87	0.2	-0.51	0.27
200801	570.81	516.45	306.58	22257.78	15615.37	15075.43	-6.36	-0.9	3.65	0.21
200802	518.71	481.93	293.34	20593.14	14954.26	14383.55	-3.09	-0.24	-0.94	0.13
200803	499.05	466.75	284.45	20139.87	14448.7	13685.26	-0.93	0.95	-0.14	0.17
200804	494.78	473.04	282.81	20348.26	13970.52	13530.28	4.6	-1.64	-0.95	0.18
200805	517.83	489.96	289.73	21094.67	14829.47	14236.02	1.86	3.22	-1.38	0.18
200806	546.81	518.04	298.47	21551.75	14873.06	14549.71	-8.44	1.28	-2.42	0.17
200807	454.96	421.26	251.11	17830.67	14151.97	10018.66	-0.77	2.45	5.88	0.15
200808	466.59	432.17	265.28	17583.83	13814.08	10665.36	1.53	3.61	1.52	0.13
200809	483.69	451.47	284.93	17852.55	14037.89	10815.18	-9.24	-1.16	6.33	0.15
200810	431.03	414.77	266.57	16112.74	12605.44	10594.53	-17.23	-2.32	-2.89	0.08
200811	334.37	335.26	212.73	13632.76	10378.99	8189.31	-7.86	-2.96	-6.02	0.03
200812	295.84	297.38	181.51	12794.07	9657.42	6902.61	1.74	3.61	-0.25	0
200901	311.16	310.81	191.94	13006.74	9703.83	7043.12	-8.12	0.08	-11.18	0
200902	290.01	278.94	162.79	12369.15	8693.51	5718.55	-10.1	0.22	-7.27	0.01
200903	263.36	249.21	139.49	11192.98	7545.03	4760.62	8.95	-0.08	3.56	0.02
200904	288.99	277.28	155.87	12075.74	8192.67	5305.81	10.19	4.77	5.53	0.01
200905	339.18	325.54	183.62	12949.72	9085.25	6233.54	5.21	-2.34	-0.23	0
200906	351.92	336.9	190.1	13515.57	9622.17	6614.88	0.43	2.62	-2.72	0.01
200907	394.22	343.84	158.02	14223.09	9081.08	7254.36	7.72	2.07	5.28	0.01
200908	420.29	379.57	179.26	15162.37	9805.62	7963	3.33	-0.9	7.75	0.01
200909	422.34	390.45	196.35	15404.93	10157.11	8729.45	4.08	2.46	0.93	0.01
200910	448.01	413.14	212.37	15819.83	10638.39	9102.92	-2.59	-4.23	-4.18	0
200911	419	388.59	194.3	15626.74	10355.32	8434.1	5.56	-2.5	-0.17	0
200912	427.58	395.56	203.8	16654.81	10831.43	8747.63	2.75	6.1	0	0.01
201001	461.87	426.84	222.22	17022.84	11144.83	8910	-3.36	0.38	0.3	0
201002	446.45	415.6	217.34	16271.3	10895.84	8517.97	3.4	1.21	3.16	0
201003	461.59	432.35	235.78	16798.63	11230.16	8964.32	6.31	1.43	2.11	0.01
201004	493.77	467.64	258.6	17661.8	12011.89	9700.22	2	4.97	2.81	0.01
201005	513.06	495	284.78	17822.08	12282.45	9831.77	-7.89	0.05	-2.38	0.01
201006	481.67	460.42	255.71	16516.24	11184.04	9051.98	-5.56	-1.97	-4.5	0.01
201007	421.41	437.33	215.31	14607.14	10384.46	10917.03	6.93	0.17	-0.26	0.01
201008	448.36	465.87	231.07	15568.31	11179.87	11542.69	-4.77	-3	-1.95	0.01
201009	417.28	429.4	211.84	14916.45	10711.05	10802.21	9.54	3.92	-3.13	0.01
201010	477.15	483.81	235.38	16495	11713.75	11537.02	3.88	1.13	-2.6	0.01
201011	498.65	502.52	245.21	17284.61	12164.82	11660.26	0.6	3.7	-0.9	0.01
201012	513.89	525.77	253.52	17332.58	12187.17	11521.21	6.82	0.69	3.82	0.01
201101	550.23	567.65	278.8	18156.63	13181.07	12665.97	1.99	-2.47	0.82	0.01
201102	548.8	569.82	280.07	18515.54	13528.04	13077.28	3.49	1.53	1.1	0.01
201103	578.55	601.39	296.24	19034.31	14143.57	13631.12	0.45	2.6	-1.58	0.01
201104	599.43	621.66	302.91	19050.66	14347.69	13424.31	2.9	-0.34	-2.52	0
201105	620.31	632.91	305.28	19826.61	14736.61	13557.62	-1.27	-0.7	-2.08	0
201106	613.48	621.43	292.74	19851.94	14540.59	13220.22	-1.75	-0.16	-0.32	0
201107	618.86	581.66	304.01	17098.37	15385.8	16128.26	-2.36	-1.35	-1.21	0
201108	588.2	558.04	294.07	16934.5	14980.18	15381.21	-5.99	-3.05	-2.48	0.01
201109	536.3	505.22	264.94	16244.92	14033.54	14104.43	-7.59	-3.53	-1.41	0
201110	476.04	445.67	236.42	15198.28	13024.11	12774.58	11.35	3.42	-0.18	0
201111	551.24	518.09	269.37	16728.69	14694.62	14263.15	-0.28	-0.17	-0.34	0
201112	541.85	517.55	268.69	16709.46	14891.01	13864.41	0.74	-0.7	1.77	0
201201	538.7	521.41	272.98	16672.21	15135.49	14144.03	5.05	2.15	-1.13	0
201202	581.97	559.18	289.51	17718.38	15665.88	14895.69	4.42	-1.75	0.08	0
201203	602.32	574.56	298.37	18517.46	16200.17	15884.47	3.11	-0.62	0.92	0
201204	614.86	591.92	307.15	19163.58	16370.62	16694.56	-0.85	-0.52	-0.48	0
201205	608.95	579.82	301.88	19022.13	16336.09	16340.18	-6.19	0	-0.59	0.01
201206	571.82	541.03	285.11	17905.72	15307.73	15159.95	3.89	0.76	0.44	0
201207	578.4	547.6	286.38	18296.32	14349.2	13307.78	0.79	-2.61	-0.27	0
201208	560.97	544.9	282.36	18626.33	14522.79	13231.28	2.55	0.4	1.31	0.01
201209	580.54	564.02	293.68	19026.14	14780.14	13822.63	2.73	0.49	1.53	0.01
201210	597.49	584.82	305.19	19433.1	15222.93	14383.57	-1.76	-1.15	3.79	0.01
201211	573.86	578.75	304.24	18940.32	14941.5	14621.21	0.78	0.59	-0.97	0.01
201212	576.26	580.48	306.36	19143.52	14978.64	14510.45	1.18	1.48	3.58	0.01
201301	588.64	597.42	319.47	19039.08	15191.31	15219.49	5.57	0.39	0.95	0
201302	627.83	624.7	339.79	19906.57	16044.48	16342.51	1.29	-0.45	0.03	0
201303	635.41	629.79	344.34	20112.63	16239.04	16643.6	4.03	0.81	-0.3	0
201304	664.45	658.8	361.68	20829.88	16898.53	17284.41	1.55	-2.42	0.62	0
201305	661.09	650.05	363.46	21162.33	17194.23	17699.5	2.8	1.66	2.6	0
201306	697.26	685.04	383.06	21556.79	17422.75	18941.84	-1.2	1.17	-0.17	0
201307	684.92	692.36	369.41	19124.71	18782.23	17394.96	5.65	1.86	0.56	0
201308	736.59	742.9	399.67	20167.23	19685.6	18468.66	-2.71	0.31	-2.78	0
201309	729.15	714.93	386.08	19803.64	19021.58	17709.81	3.77	2.92	-1.19	0
201310	768.37	763.04	406.22	20638.66	19543.31	18094.31	4.18	-1.51	1.14	0
201311	777.57	784.56	425.21	21550.7	20349.48	18826.34	3.12	1.22	0.24	0
201312	814.01	813.6	443.44	22226.88	20785.77	19707.45	2.81	-0.5	-0.31	0
201401	828.89	830.92	451.03	22791.13	21511.2	20083.37	-3.32	0.85	-2.09	0
201402	829.75	796.65	436.25	22060.92	20698.58	19312.1	4.65	0.34	-0.4	0
201403	859.91	837.05	458.2	23123.74	21604.1	19883.86	0.43	-1.89	5.09	0
201404	830.44	847.02	463.9	22897.3	21835.45	20752.2	-0.19	-4.24	1.14	0
201405	780.6	819.65	451.76	22983.48	22065.71	20588.88	2.06	-1.86	-0.27	0
201406	775.69	826.85	452.7	23509.07	22446.5	20809.59	2.61	3.08	-0.74	0
201407	802.4	820.96	454.93	22060.4	22755.39	21401.21	-2.04	-4.25	0.01	0
