	SMALL LoBM	ME1 BM2	SMALL HiBM	BIG LoBM	ME2 BM2	BIG HiBM	MKT	SMB	HML	RF
201408	752.32	768.71	430.83	21850.05	22362.03	20886.68	4.24	0.36	-0.59	0
201409	792.13	799.93	450.68	22986.43	23014.86	21746.52	-1.97	-3.83	-1.23	0
201410	755.59	757.26	424.16	22691.21	22517.44	21410.1	2.52	4.21	-1.7	0
201411	809.64	802.79	448.44	23406.73	22866.79	21719.04	2.55	-2.09	-3	0
201412	824.44	793.52	445.39	24349.3	23370.5	21753.33	-0.06	2.55	2.06	0
201501	841.29	816.88	452.53	24070.09	23340.87	22241.95	-3.11	-0.56	-3.48	0
201502	809.37	776.41	431.41	23740.69	22587.12	20906.13	6.13	0.49	-1.81	0
201503	875.43	828.24	453.48	25194.43	23838.8	22036.75	-1.12	3.03	-0.46	0
201504	897.53	841.39	459	24971.65	23419.23	21732.73	0.59	-2.98	1.85	0
201505	867.67	825.53	455.69	25030.16	23782.04	22049.4	1.36	0.87	-1.37	0
201506	895.7	844.34	460.61	25375.59	24045.59	22410.9	-1.53	2.83	-0.79	0
201507	797.3	750.89	442.25	23978.74	20456.99	20412.06	1.54	-4.15	-4.12	0
201508	793.61	729.77	416.01	24753.38	20704.27	20414.41	-6.04	0.49	2.66	0
201509	726.43	695.84	403.76	23164.32	19506.84	19035.04	-3.08	-2.64	0.53	0
201510	668.46	659.76	385.2	22613.92	18957.09	18302.72	7.75	-1.97	-0.07	0
201511	701.2	703.48	407.46	24400.22	20606.88	19535.83	0.56	3.64	-0.51	0
201512	738.34	724.59	426.61	24464.91	20614.67	19792.53	-2.17	-2.83	-2.59	0.01
201601	715.24	685.51	399.45	24175.68	20118.01	18996.19	-5.77	-3.35	2.08	0.01
201602	617.49	635.08	372.83	22976.79	18971.63	17553.77	-0.07	0.79	-0.5	0.02
201603	612.89	641.5	376.74	22998.54	19064.93	17281.64	6.96	0.87	1.16	0.02
201604	655.62	692	408.1	24624.01	20397.33	18671.73	0.92	0.69	3.26	0.01
201605	675.43	701.44	426.22	24383.17	20708.33	19511.01	1.78	-0.27	-1.81	0.01
201606	690.78	711.27	428.52	24904.73	21036.89	19583.78	-0.05	0.65	-1.47	0.02
201607	695.22	658.21	387	25049.22	20919.78	17343.1	3.95	2.64	-1.11	0.02
201608	743	696.67	407.94	26285.96	21418.85	18149.45	0.5	1.16	3.34	0.02
201609	742.04	712.32	422.59	26305.62	21346.12	18779.57	0.25	2.02	-1.49	0.02
201610	770.96	721.5	428.97	26541.63	21278.38	18694.4	-2.02	-4.39	4.16	0.02
201611	696.34	683.65	417.44	26057.63	20794.17	18854.56	4.86	5.47	8.29	0.01
201612	758.11	768.33	479.09	26525.28	21974.69	21229.26	1.82	0.1	3.58	0.03
201701	754.75	786.7	499.7	26857.1	22398.91	22068.02	1.94	-1.04	-2.78	0.04
201702	767.47	782.28	498.32	27788.19	22582.27	22135.49	3.57	-2.02	-1.79	0.04
201703	793.29	785	499.36	28996.37	23127.19	22996.61	0.17	1.2	-3.17	0.03
201704	808.01	780.21	494.87	29385.36	23025.39	22387.38	1.09	0.71	-1.87	0.05
201705	820.65	795.2	497.93	29943.93	23223.63	22171.99	1.06	-2.54	-3.78	0.06
201706	814.92	780.18	478.48	30896.21	23197.76	21558.2	0.78	2.17	1.35	0.06
201707	846.76	769.09	462.26	28594.29	23209.64	22361.54	1.87	-1.41	-0.29	0.07
201708	851.31	775.2	466.24	29309.11	23534.75	22807.98	0.16	-1.67	-2.24	0.09
201709	845.92	759.99	455.56	29604.77	23341.76	22574.91	2.51	4.55	3.03	0.09
201710	897.9	823.25	488.76	30067.82	24056.76	23621.29	2.25	-1.94	-0.05	0.09
201711	910.22	825.32	495.14	31074.09	24426.15	24363.45	3.12	-0.65	-0.04	0.08
201712	933.55	849.58	506.21	32103.21	25129.43	25074.36	1.06	-1.28	0.14	0.09
201801	937.33	843.24	504.82	32354.96	25400.08	25536.68	5.58	-3.03	-1.37	0.11
201802	963.37	870.34	514.34	34455.09	26692.5	26986.34	-3.65	0.26	-1.19	0.11
201803	932.11	838.76	495.49	33556.48	25503.87	26072.8	-2.35	3.95	-0.12	0.12
201804	943.65	846.32	505.95	32879.44	24936.46	25181.96	0.29	1.12	0.54	0.14
201805	941.8	856.5	518.27	33048.76	24958.48	25300.54	2.65	5.23	-3.16	0.14
201806	1017.25	917.34	548.92	34179.62	25284.77	25261.1	0.48	1.18	-2.38	0.14
201807	984.33	897.89	583.38	36081.29	22029.91	26272.82	3.19	-2.17	0.43	0.16
201808	994.33	917.12	590.2	37242.63	22830.11	27357.58	3.44	1.15	-4.08	0.16
201809	1052.9	942.74	605.17	39125.69	23296.74	27457.09	0.06	-2.37	-1.3	0.15
201810	1034.77	915.97	588.58	39394.02	23337.7	27457.78	-7.68	-4.76	3.44	0.19
201811	895.63	813.5	533.13	35992.53	22081.8	25806.03	1.69	-0.79	0.25	0.18
201812	910.61	828.96	534.99	36435.36	22442.87	26399.72	-9.55	-2.63	-1.47	0.19
